name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Chryseobacterium lactis	1241981	S	134	140	274	0.00002	0.00001	0.00000	0.00001	37	4.0
Chryseobacterium joostei	112234	S	106	109	215	0.00001	0.00001	0.00000	0.00001	37	5.0
Empedobacter stercoris	1628248	S	12485	18766	31251	0.00210	0.00126	0.00154	0.00140	33	nan
Empedobacter falsenii	343874	S	1619	1997	3616	0.00024	0.00013	0.00016	0.00015	32	nan
Empedobacter brevis	247	S	117	118	235	0.00002	0.00001	0.00000	0.00001	33	5.0
Pedobacter endophyticus	2789740	S	352721	353050	705771	0.04737	0.02370	0.02311	0.02158	41	nan
Niabella ginsenosidivorans	1176587	S	53147	53156	106303	0.00714	0.00357	0.00337	0.00317	45	nan
Duncaniella dubosii	2518971	S	1452	1646	3098	0.00021	0.00011	0.00000	0.00010	51	5.0
Duncaniella freteri	2530391	S	930	1583	2513	0.00017	0.00011	0.00000	0.00009	48	5.0
Muribaculum intestinale	1796646	S	738	825	1563	0.00010	0.00006	0.00000	0.00005	52	5.0
Muribaculum gordoncarteri	2530390	S	494	607	1101	0.00007	0.00004	0.00000	0.00004	51	5.0
Paramuribaculum intestinale	2094151	S	534	612	1146	0.00008	0.00004	0.00000	0.00004	57	5.0
Prosthecochloris sp. GSB1	281093	S	192225	192311	384536	0.02581	0.01291	0.01245	0.01156	58	nan
Campylobacter lari	201	S	68393	69511	137904	0.00926	0.00467	0.00613	0.00562	28	nan
Campylobacter subantarcticus	497724	S	611	644	1255	0.00008	0.00004	0.00000	0.00005	30	4.0
Campylobacter peloridis	488546	S	606	650	1256	0.00008	0.00004	0.00000	0.00006	28	5.0
Campylobacter ornithocola	1848766	S	530	539	1069	0.00007	0.00004	0.00000	0.00004	29	5.0
Campylobacter armoricus	2505970	S	370	373	743	0.00005	0.00003	0.00000	0.00003	28	5.0
Campylobacter sp. 2014D-0216	1813595	S	151	160	311	0.00002	0.00001	0.00000	0.00001	31	4.0
Campylobacter jejuni	197	S	190	329	519	0.00003	0.00002	0.00000	0.00003	30	5.0
Arcobacter porcinus	1935204	S	54391	55883	110274	0.00740	0.00375	0.00570	0.00507	27	nan
Arcobacter aquimarinus	1315211	S	152	155	307	0.00002	0.00001	0.00000	0.00001	26	4.0
Aliarcobacter thereius	544718	S	5180	5343	10523	0.00071	0.00036	0.00047	0.00049	26	nan
Aliarcobacter cryaerophilus	28198	S	1866	1961	3827	0.00026	0.00013	0.00000	0.00018	27	5.0
Aliarcobacter skirrowii	28200	S	1568	1722	3290	0.00022	0.00012	0.00000	0.00015	27	5.0
Aliarcobacter butzleri	28197	S	909	933	1842	0.00012	0.00006	0.00000	0.00009	27	5.0
Aliarcobacter cibarius	255507	S	297	307	604	0.00004	0.00002	0.00000	0.00003	27	4.0
Aliarcobacter trophiarum	708186	S	153	154	307	0.00002	0.00001	0.00000	0.00001	29	4.0
Aliarcobacter lanthieri	1355374	S	146	146	292	0.00002	0.00001	0.00000	0.00001	27	4.0
Sulfurimonas marina	2590551	S	59173	59229	118402	0.00795	0.00398	0.00429	0.00394	37	nan
Geotalea daltonii	1203471	S	121486	121526	243012	0.01631	0.00816	0.00772	0.00720	55	nan
Borreliella americana	478807	S	28345	29599	57944	0.00389	0.00199	0.00287	0.00261	27	nan
Borreliella burgdorferi	139	S	2542	3168	5710	0.00038	0.00021	0.00028	0.00028	27	nan
Borreliella garinii	29519	S	530	663	1193	0.00008	0.00004	0.00006	0.00006	27	nan
Borreliella bissettiae	64897	S	353	431	784	0.00005	0.00003	0.00004	0.00004	28	nan
Borreliella finlandensis	498741	S	304	345	649	0.00004	0.00002	0.00003	0.00003	28	nan
Borreliella valaisiana	62088	S	278	298	576	0.00004	0.00002	0.00000	0.00003	26	5.0
Borreliella lanei	373540	S	278	297	575	0.00004	0.00002	0.00000	0.00003	27	5.0
Borreliella turdi	57863	S	257	262	519	0.00003	0.00002	0.00000	0.00002	28	4.0
Borreliella andersonii	42109	S	253	258	511	0.00003	0.00002	0.00000	0.00002	28	5.0
Borreliella mayonii	1674146	S	203	216	419	0.00003	0.00001	0.00002	0.00002	26	nan
Borreliella californiensis	373543	S	189	198	387	0.00003	0.00001	0.00000	0.00002	28	5.0
Borreliella spielmanii	88916	S	162	164	326	0.00002	0.00001	0.00000	0.00002	26	5.0
Borreliella bavariensis	664662	S	154	261	415	0.00003	0.00002	0.00002	0.00002	27	nan
Borreliella lusitaniae	100177	S	152	154	306	0.00002	0.00001	0.00000	0.00001	28	4.0
Borreliella tanukii	56146	S	150	154	304	0.00002	0.00001	0.00000	0.00001	27	4.0
Borreliella afzelii	29518	S	131	137	268	0.00002	0.00001	0.00000	0.00001	27	4.0
Borreliella yangtzensis	683292	S	130	133	263	0.00002	0.00001	0.00000	0.00001	27	4.0
Borreliella kurtenbachii	1196056	S	116	128	244	0.00002	0.00001	0.00000	0.00001	27	5.0
Borreliella japonica	34095	S	110	111	221	0.00001	0.00001	0.00000	0.00001	27	5.0
Borreliella carolinensis	478174	S	105	131	236	0.00002	0.00001	0.00001	0.00001	27	nan
Chloracidobacterium sp. D	2821536	S	19859	34428	54287	0.00364	0.00231	0.00235	0.00219	62	nan
Chloracidobacterium aggregatum	2851959	S	103	118	221	0.00001	0.00001	0.00001	0.00001	63	nan
Homo sapiens	9606	S	297	297	594	0.00004	0.00002	0.00000	0.00002	38	4.0
